age_group,state,gender,break_year,slope1,slope2,mean_last_5_years
65-74 years,Georgia,Male,2010,-0.11784219039222606,0.013128096021016819,1.790116149992592
65-74 years,Georgia,Total,2010,-0.09069187115871796,0.008998049608857875,1.32002235579479
65-74 years,Hawaii,Female,2010,-0.035290946009402635,-0.007434604143444108,0.4755259376692066
65-74 years,Hawaii,Male,2008,-0.08630858703163405,-0.009646403198797796,1.225201052735618
65-74 years,Hawaii,Total,2009,-0.05389151447338002,-0.00763983282062386,0.8378365825780983
65-74 years,Idaho,Female,2009,-0.04381899807790068,-0.004550342121468896,0.5778712638609498
65-74 years,Idaho,Male,2007,-0.11588022299700482,-0.00672439827291442,1.18313482308461
65-74 years,Idaho,Total,2008,-0.07290907336867403,-0.0053312177447394915,0.8731861907663978
65-74 years,Illinois,Female,2009,-0.06265090841136393,-0.0030669665788309527,0.7620593885030396
65-74 years,Illinois,Male,2009,-0.110943568446442,-0.001125924573013512,1.546043694965546
65-74 years,Illinois,Total,2009,-0.08304840284484213,-0.0015373853403585214,1.1315541258675315
65-74 years,Indiana,Female,2008,-0.07586315503103616,-0.002945653044489238,0.8679296286790406
65-74 years,Indiana,Male,2009,-0.11681409878320141,0.004760070532388527,1.709620856733446
65-74 years,Indiana,Total,2009,-0.08913738580180842,0.002384204724382402,1.26722147878741
65-74 years,Iowa,Female,2009,-0.04468618431795065,0.004447955560675308,0.7732890465147497
65-74 years,Iowa,Male,2007,-0.11683670981649684,0.0038481061394213117,1.5655581314618998
65-74 years,Iowa,Total,2007,-0.08193267424353373,0.0034367191209767334,1.1596974934805124
65-74 years,Kansas,Female,2010,-0.05081748345922388,0.006366989823529151,0.7329876233369486
65-74 years,Kansas,Male,2008,-0.10708626098366536,0.007603789630622762,1.4941915073977081
65-74 years,Kansas,Total,2009,-0.07251551876420456,0.0077953222407368405,1.0991172360636492
65-74 years,Kentucky,Female,2009,-0.0715400020767143,0.004393801954732199,1.0859503203487466
65-74 years,Kentucky,Male,2008,-0.1360416841130583,0.00349906282521692,2.01445963408198
65-74 years,Kentucky,Total,2009,-0.09281458983827343,0.006173796396999817,1.5228367280125408
65-74 years,Louisiana,Female,2009,-0.06004427246685246,0.0023956508073047222,1.13230483985816
65-74 years,Louisiana,Male,2008,-0.11113806496156986,0.005777056388569471,2.147573291616858
65-74 years,Louisiana,Total,2008,-0.08406487370563799,0.0032732696087467567,1.6055976432987815
65-74 years,Maine,Female,2008,-0.06967535590399619,-0.0010485470023028354,0.5901016457446613
65-74 years,Maine,Male,2011,-0.08932853554134701,0.009148118764559676,1.264181438282098
65-74 years,Maine,Total,2010,-0.0739336855113136,0.003672897356265692,0.9124134222558956
65-74 years,Maryland,Female,2011,-0.055595957518678255,-0.003455212742189649,0.7254061713027038
65-74 years,Maryland,Male,2010,-0.09383463932998581,0.0009995387705653835,1.495662563292398
65-74 years,Maryland,Total,2011,-0.06914911668487564,0.00026309941288280014,1.0791781271546115
65-74 years,Massachusetts,Female,2011,-0.046771087635405266,-0.004465086670580001,0.4736270663508922
65-74 years,Massachusetts,Male,2009,-0.10384309688710279,-0.011222943031179294,1.044869820964122
65-74 years,Massachusetts,Total,2010,-0.06924841345231994,-0.0069604429178636365,0.7414468175210006
65-74 years,Michigan,Female,2009,-0.0629993134368574,-0.0036808977309777044,0.8710986397917605
65-74 years,Michigan,Male,2007,-0.13650713413725815,-0.002983586510910352,1.6868222980588299
65-74 years,Michigan,Total,2008,-0.09112454847445679,-0.0024728485443305803,1.259324675714919
65-74 years,Minnesota,Female,2009,-0.04042825016110913,4.839554296462434e-05,0.406330041842876
65-74 years,Minnesota,Male,2007,-0.1113510592006088,-0.008047727190441709,0.8517111153902178
65-74 years,Minnesota,Total,2007,-0.07689794403360382,-0.004959667990637989,0.6235734295337477
65-74 years,Mississippi,Female,2011,-0.07067499066518296,0.006347638641620815,1.23034194646702
65-74 years,Mississippi,Male,2011,-0.11952933099767969,0.027122626678244457,2.3998591548652817
65-74 years,Mississippi,Total,2011,-0.09009275198875272,0.015747821167032633,1.7713081106602537
65-74 years,Missouri,Female,2010,-0.05660998711487061,0.005855312344972455,0.9442717669566424
65-74 years,Missouri,Male,2008,-0.13089290380764337,0.008103380895529505,1.8268384798119122
65-74 years,Missouri,Total,2009,-0.08599643967627778,0.007724778675480701,1.3600556755037798
65-74 years,Montana,Female,2010,-0.03785434527587787,0.007751576789975526,0.713570277035274
65-74 years,Montana,Male,2006,-0.13625261734428215,0.004011529497822297,1.4481697080538258
65-74 years,Montana,Total,2006,-0.09131819061635162,0.002074859711164695,1.0748284469647404
65-74 years,Nebraska,Female,2010,-0.047023630004774074,0.0016059599786688167,0.591466562735305
65-74 years,Nebraska,Male,2006,-0.1315574554962451,-0.005078471157337561,1.180806591548748
65-74 years,Nebraska,Total,2008,-0.07615937313525527,-0.00046377076828960084,0.8763526070160073
65-74 years,Nevada,Female,2010,-0.03889125558623236,-0.0022549617760470944,0.8914290090523693
65-74 years,Nevada,Male,2008,-0.08413945532219166,0.0026616742037519486,1.9699076500839539
65-74 years,Nevada,Total,2008,-0.06485345623371762,-0.0025001088081140696,1.40828529582947
65-74 years,New Hampshire,Female,2008,-0.05587716225721638,-0.006795825251517708,0.5300500065714958
65-74 years,New Hampshire,Male,2009,-0.11173151374144713,0.000745619434003475,1.195996610185274
65-74 years,New Hampshire,Total,2009,-0.07841192617617183,-0.002351240162372051,0.8540866999542732
65-74 years,New Jersey,Female,2009,-0.06546217272707126,-0.005116129220463596,0.5986450938047204
65-74 years,New Jersey,Male,2008,-0.12216402044230874,-0.014010363109883614,1.2067701339789
65-74 years,New Jersey,Total,2008,-0.0928643945152841,-0.009723560899767184,0.8832606123202457
65-74 years,New Mexico,Female,2011,-0.035299034425800076,0.011190224930570092,0.7045491685861408
65-74 years,New Mexico,Male,2010,-0.08422365626178278,0.03219882269922052,1.556274997925398
65-74 years,New Mexico,Total,2010,-0.0595552616762086,0.01957515652943649,1.1048854719769374
65-74 years,New York,Female,2011,-0.06197329990325034,-0.009315232127591833,0.6677648108054905
65-74 years,New York,Male,2010,-0.10888186478011602,-0.011444536235007768,1.382280828844382
65-74 years,New York,Total,2010,-0.08404590470994601,-0.010687171098267972,1.0022740306541178
65-74 years,North Carolina,Female,2009,-0.06665689479139819,-0.0018749738792789988,0.7523108103562068
65-74 years,North Carolina,Male,2009,-0.12331379460817986,-0.0024691268596422067,1.51881190217751
65-74 years,North Carolina,Total,2009,-0.0904517606108478,-0.002241217139618043,1.1059892638291768
65-74 years,North Dakota,Female,2008,-0.04856317328192758,0.0007752407245646617,0.6328865305089324
65-74 years,North Dakota,Male,2008,-0.09771794767655932,-0.006270401934994008,1.287577695081222
65-74 years,North Dakota,Total,2008,-0.069918853791701,-0.0012081414977582472,0.9620822664422315
65-74 years,Ohio,Female,2009,-0.06654876664505105,0.00014275972767884004,0.8819007272311585
65-74 years,Ohio,Male,2009,-0.12317836962059392,0.010149188193627923,1.72202323684724
65-74 years,Ohio,Total,2009,-0.09077484895906128,0.005434239872837726,1.2788639291237598
65-74 years,Oklahoma,Female,2011,-0.04740491301997783,0.030215132907195935,1.426315416485356
65-74 years,Oklahoma,Male,2010,-0.11254712254994584,0.05120394561249533,2.5474057204453238
65-74 years,Oklahoma,Total,2010,-0.07878749614594538,0.038252455417287515,1.9552810576662991
65-74 years,Oregon,Female,2012,-0.04222033676909075,0.003914617335609938,0.5134078128566895
65-74 years,Oregon,Male,2011,-0.08181726631718461,0.009367568524132328,1.17322799476482
65-74 years,Oregon,Total,2012,-0.05731258461935101,0.008121469373058944,0.8258246301355016
65-74 years,Pennsylvania,Female,2009,-0.060227761347562025,-0.006711271649498966,0.7217991315811508
65-74 years,Pennsylvania,Male,2009,-0.11559273251111904,-0.006056264360325428,1.48185188293617
65-74 years,Pennsylvania,Total,2009,-0.08332735776238298,-0.005678550211127301,1.0830417356011963
65-74 years,Rhode Island,Female,2012,-0.03825722852978795,-0.0072286946866065675,0.5880009443178418
65-74 years,Rhode Island,Male,2011,-0.1106467402647092,0.0009686078760516026,1.28078370300065
65-74 years,Rhode Island,Total,2011,-0.06973315934200003,-0.004153962144032061,0.9140983761725563
65-74 years,South Carolina,Female,2009,-0.06580256676260811,-0.004155246693881669,0.8130605554439528
65-74 years,South Carolina,Male,2009,-0.1232149585456607,0.0035919183768787777,1.686218540940412
65-74 years,South Carolina,Total,2009,-0.08969425510924495,-0.0011463708890880192,1.2147446652854843
65-74 years,South Dakota,Female,2006,-0.04795116981095813,-0.0049337532504376,0.603314008277907
65-74 years,South Dakota,Male,2008,-0.11467259708632535,-0.0042136931647760445,1.317322859117548
65-74 years,South Dakota,Total,2007,-0.08046597232199357,-0.0043193420615014605,0.9618202630728309
65-74 years,Tennessee,Female,2009,-0.0634493592712998,0.0036415352620657454,1.05350718143885
65-74 years,Tennessee,Male,2009,-0.11218610106811476,0.015727906235215763,2.0568218761471697
65-74 years,Tennessee,Total,2009,-0.08300517326239525,0.009067617602543307,1.5206062556500652
65-74 years,Texas,Female,2010,-0.05845427708099506,0.002930528020008566,0.8332924252910272
65-74 years,Texas,Male,2009,-0.1139262518872529,0.008771633853822208,1.662256349259176
65-74 years,Texas,Total,2009,-0.08533900867199029,0.004450366387877408,1.2229314140885879
65-74 years,Utah,Female,2009,-0.036934099451262595,0.0005782118520459151,0.5618574578428553
65-74 years,Utah,Male,2005,-0.10596311321829865,-0.004650142350240277,1.048273309393404
65-74 years,Utah,Total,2009,-0.049562929239035214,0.002208755727819811,0.7980971821977707
65-74 years,Vermont,Female,2008,-0.05480777702095465,-0.004315852718088535,0.561123842834533
65-74 years,Vermont,Male,2007,-0.12299043225572272,0.0010471859423543395,1.270453026865272
65-74 years,Vermont,Total,2007,-0.0872326646207273,-0.0025090818582347296,0.9059226812449903
65-74 years,Virginia,Female,2010,-0.06120458399475337,0.0018340128038834141,0.7374244983863469
65-74 years,Virginia,Male,2009,-0.11155394573467908,0.002323502797120458,1.435003271432334
65-74 years,Virginia,Total,2010,-0.07880438923713114,0.0038681494225804025,1.0637679367291812
65-74 years,Washington,Female,2012,-0.03939169600173278,0.003409939154336801,0.564955371185335
65-74 years,Washington,Male,2010,-0.09040306787483153,0.0036876243092005268,1.214511671160678
65-74 years,Washington,Total,2010,-0.06516200035104423,0.0008763834148721589,0.8746866705330849
65-74 years,West Virginia,Female,2012,-0.06301778917879738,0.013375740673912437,1.0300089325650768
65-74 years,West Virginia,Male,2013,-0.09681919979712034,0.0451972644260632,1.98372291401096
65-74 years,West Virginia,Total,2012,-0.07938379141112259,0.024049740000292974,1.4859990891253632
65-74 years,Wisconsin,Female,2007,-0.05977715366514433,-0.004786484003434087,0.629657732749379
65-74 years,Wisconsin,Male,2008,-0.11703000240812227,-0.00450161708677578,1.309287830083562
65-74 years,Wisconsin,Total,2007,-0.09112692934882254,-0.005516136357168758,0.9623303967832377
65-74 years,Wyoming,Female,2011,-0.03629315902554319,-0.005664402197783504,0.6488669381605074
65-74 years,Wyoming,Male,2014,-0.03586633200378131,0.008317804144982108,1.453287991913776
65-74 years,Wyoming,Total,2013,-0.03356556218708955,0.0013203568718080441,1.0556650525605267
